Timestamp,SequenceNumber,MavlinkCommand,IPSourceHost,TCPSourcePort,IPDestHost,TCPDestPort,PacketLength
1679497280.415151415,3927595399,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.415171527,3927595528,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.424405637,3927595597,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.424551209,3927595637,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497280.424593770,3927595667,,172.16.0.8,5760,10.241.115.1,38510,80
1679497280.476401801,3927595695,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.476467978,3927595824,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.476481953,3927595893,242,172.16.0.8,5760,10.241.115.1,38510,120
1679497280.485821517,3927595961,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.485984035,3927596090,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.557171033,3927596159,102,172.16.0.8,5760,10.241.115.1,38510,348
1679497280.565617940,3927596455,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.565684928,3927596584,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.578836517,3927596653,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.628863096,4045124066,0,10.241.115.1,38510,172.16.0.8,5760,91
1679497280.679833842,3927596851,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.679961333,3927596980,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.679993344,3927597049,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.680017976,3927597089,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497280.680036332,3927597119,,172.16.0.8,5760,10.241.115.1,38510,80
1679497280.680047671,3927597147,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.680061461,3927597276,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.680072290,3927597345,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.685601655,3927597474,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.702732568,3927596782,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.702841238,3927597543,33,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.702861272,3927597583,2,172.16.0.8,5760,10.241.115.1,38510,75
1679497280.702871669,3927597606,,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.702880168,3927597646,,172.16.0.8,5760,10.241.115.1,38510,66
1679497280.702908507,3927597660,136,172.16.0.8,5760,10.241.115.1,38510,86
1679497280.800319433,3927597728,32,172.16.0.8,5760,10.241.115.1,38510,322
1679497280.800406732,3927597998,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.800446716,3927598038,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497280.800489389,3927598068,,172.16.0.8,5760,10.241.115.1,38510,80
1679497280.800501389,3927598096,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.800510011,3927598225,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.800535222,3927598294,102,172.16.0.8,5760,10.241.115.1,38510,181
